"","actual","predicted","count"
254,"VBZ","VBG",19
101,"NN","VBD",19
243,"VBP","VBD",18
211,"VBD","VBG",18
9,"CD","JJ",17
249,"VBZ","NNP",17
203,"VB","VBN",17
209,"VBD","NNS",17
97,"NN","RB",15
144,"PRP","CD",15
105,"NN","VBZ",15
11,"CD","NNP",14
229,"VBN","VB",14
107,"NNP","DT",14
147,"PRP","PRP$",14
89,"NN","IN",14
238,"VBP","NNP",13
135,"NNS","VBG",13
30,"IN","CC",12
60,"JJ","RP",12
133,"NNS","VB",11
3,"CC","IN",11
148,"RB","CC",10
169,"RBR","JJ",10
12,"CD","NNS",10
32,"IN","FW",10
221,"VBG","VBD",10
163,"RB","VB",9
68,"JJR","NNP",9
10,"CD","NN",8
146,"PRP","NNP",8
201,"VB","VBD",8
88,"NN","FW",8
213,"VBD","VBP",8
245,"VBP","VBN",8
116,"NNP","RB",8
106,"NNP","CD",8
126,"NNS","FW",7
220,"VBG","VB",7
2,"CC","DT",7
189,"UH","NNP",7
79,"LS","CD",7
165,"RB","VBG",7
27,"FW","NN",6
153,"RB","JJR",6
167,"RB","VBZ",6
134,"NNS","VBD",6
76,"JJS","NNP",6
75,"JJS","NN",6
244,"VBP","VBG",6
239,"VBP","NNS",6
82,"MD","NNP",5
51,"JJ","JJS",5
259,"WDT","WP",5
26,"FW","JJ",5
122,"NNPS","JJ",5
92,"NN","MD",5
246,"VBP","VBZ",5
199,"VB","NNS",5
109,"NNP","IN",5
181,"SYM","DT",5
4,"CC","JJR",4
112,"NNP","MD",4
256,"WDT","DT",4
120,"NNP","VBN",4
20,"DT","RB",4
143,"POS","VBZ",4
95,"NN","PDT",4
164,"RB","VBD",4
223,"VBG","VBZ",4
183,"SYM","LS",3
57,"JJ","PRP",3
119,"NNP","VBG",3
202,"VB","VBG",3
184,"SYM","NN",3
85,"NN","CC",3
182,"SYM","IN",3
186,"UH","DT",3
44,"IN","VBP",3
87,"NN","DT",3
235,"VBP","IN",3
187,"UH","JJ",3
188,"UH","NN",3
145,"PRP","NN",3
206,"VBD","MD",2
185,"SYM","NNP",2
194,"VB","IN",2
200,"VB","RB",2
190,"UH","RB",2
191,"UH","VB",2
139,"PDT","DT",2
179,"RP","NNP",2
29,"FW","NNS",2
65,"JJ","VBP",2
69,"JJR","NNS",2
70,"JJR","RB",2
240,"VBP","RB",2
81,"LS","NN",2
91,"NN","JJR",2
48,"JJ","FW",2
252,"VBZ","VB",2
117,"NNP","UH",2
118,"NNP","VB",2
121,"NNP","VBZ",2
174,"RBR","VBN",2
232,"VBN","VBP",2
22,"EX","RB",2
18,"DT","NNP",2
171,"RBR","NNP",2
13,"DT","CC",2
162,"RB","UH",2
16,"DT","JJ",2
17,"DT","NN",2
108,"NNP","FW",2
154,"RB","JJS",2
228,"VBN","RB",2
255,"VBZ","VBN",2
233,"VBN","VBZ",1
260,"WRB","JJ",1
234,"VBP","CD",1
262,"WRB","NNS",1
258,"WDT","NNP",1
219,"VBG","RB",1
241,"VBP","RP",1
261,"WRB","NN",1
132,"NNS","RB",1
196,"VB","JJR",1
37,"IN","NNS",1
67,"JJR","NN",1
59,"JJ","RBR",1
54,"JJ","NNPS",1
50,"JJ","JJR",1
47,"JJ","DT",1
43,"IN","VBN",1
42,"IN","VBG",1
41,"IN","VBD",1
40,"IN","VB",1
35,"IN","NN",1
193,"VB","DT",1
34,"IN","JJS",1
28,"FW","NNP",1
25,"FW","IN",1
24,"FW","DT",1
23,"FW","CC",1
14,"DT","FW",1
8,"CC","VBG",1
7,"CC","RBR",1
5,"CC","NNP",1
72,"JJR","VB",1
73,"JJR","VBN",1
77,"JJS","NNS",1
80,"LS","DT",1
192,"VB","CD",1
178,"RP","JJ",1
176,"RBS","RB",1
172,"RBR","NNS",1
168,"RBR","CC",1
160,"RB","RBS",1
158,"RB","PDT",1
142,"PDT","RB",1
141,"PDT","NN",1
140,"PDT","JJ",1
137,"NNS","VBP",1
1,",","NNS",1
128,"NNS","JJS",1
111,"NNP","JJR",1
99,"NN","SYM",1
98,"NN","RBR",1
96,"NN","PRP",1
84,"MD","VBP",1
83,"MD","VBD",1
263,"WRB","VBZ",1
